split,mean_bps,std_bps,sharpe,steps,max_drawdown,turnover
train,947.7714267898297,136250.659815973,0.11042445585535937,7823,-0.1242075013350682,69.71972694061697
valid,2057.6498644238695,54906.51032213464,0.5949053904068634,2474,-0.010024044780484687,17.008313911268488
test,2331.4548300114434,82276.76405355787,0.4498317169480786,7628,-0.0282841100516682,40.17815243755467
