date,close_gspc,high_gspc,low_gspc,open_gspc,rv_21d,rv_60d,rv_120d
1993-01-29,438.7799987792969,438.92999267578125,436.9100036621094,438.6700134277344,0.12920757035359756,0.11956711669293281,0.10781864518257284
1993-02-01,442.5199890136719,442.5199890136719,438.7799987792969,438.7799987792969,0.1276711064490202,0.11876257383091117,0.10756334123453863
1993-02-02,442.54998779296875,442.8699951171875,440.760009765625,442.5199890136719,0.12890499150557047,0.11900608004776843,0.10782273216086288
1993-02-03,447.20001220703125,447.3500061035156,442.55999755859375,442.55999755859375,0.12402809961503047,0.11707478075576018,0.10674525858748522
1993-02-04,449.55999755859375,449.8599853515625,447.20001220703125,447.20001220703125,0.1450336509368014,0.11748867029850825,0.10661665022876766
1993-02-05,448.92999267578125,449.55999755859375,446.95001220703125,449.55999755859375,0.14549716396170712,0.11770124392688944,0.10691597200035166
1993-02-08,447.8500061035156,450.0400085449219,447.70001220703125,448.94000244140625,0.14567097183695987,0.11784177316868166,0.10721918092718435
1993-02-09,445.3299865722656,448.0400085449219,444.5199890136719,448.0400085449219,0.1439669962127648,0.11719285203434152,0.106818107249275
1993-02-10,446.2300109863281,446.3699951171875,444.239990234375,445.3299865722656,0.14827757714066608,0.11723771385933493,0.10680361700610554
1993-02-11,447.6600036621094,449.3599853515625,446.2099914550781,446.2099914550781,0.14826147670810372,0.11689058046411087,0.10656926928630521
1993-02-12,444.5799865722656,447.70001220703125,444.5799865722656,447.6600036621094,0.14585585425455228,0.11614744074527604,0.10602981820237119
1993-02-16,433.9100036621094,444.5299987792969,433.4700012207031,444.5299987792969,0.11791755403040212,0.10371308688938993,0.09937478361342639
1993-02-17,433.29998779296875,433.9700012207031,430.9200134277344,433.92999267578125,0.11984764356688983,0.10657560557124442,0.0996935610130541
1993-02-18,431.8999938964844,437.7900085449219,428.25,433.29998779296875,0.11993642666449837,0.10657532813578288,0.0996931391621617
1993-02-19,434.2200012207031,434.260009765625,431.67999267578125,431.92999267578125,0.12083801078545266,0.1065685294793379,0.09955705196141518
1993-02-22,435.239990234375,436.489990234375,433.5299987792969,434.2099914550781,0.12041829336121528,0.10632556297908174,0.09950282069723645
1993-02-23,434.79998779296875,436.8399963378906,432.4100036621094,435.3399963378906,0.12039281543947675,0.1141879292488496,0.09951769983719765
1993-02-24,440.8699951171875,440.8699951171875,434.67999267578125,434.760009765625,0.11401132282548208,0.11128194258507183,0.09810265140429987
1993-02-25,442.3399963378906,442.3399963378906,439.6700134277344,440.70001220703125,0.11538959941831621,0.11272936895102079,0.09818118767032347
1993-02-26,443.3800048828125,443.7699890136719,440.9800109863281,442.3399963378906,0.11618646859450572,0.11301767015769634,0.09848021290816533
1993-03-01,442.010009765625,444.17999267578125,441.3399963378906,443.3800048828125,0.11617189521710326,0.11295076880553531,0.09839546694563027
1993-03-02,447.8999938964844,447.9100036621094,441.07000732421875,442.0,0.10442530491417867,0.11178618262627031,0.09606336976613114
1993-03-03,449.260009765625,450.0,447.7300109863281,447.8999938964844,0.10411794925146628,0.1116817954208755,0.09591960347541438
1993-03-04,447.3399963378906,449.5199890136719,446.7200012207031,449.260009765625,0.1256250695524986,0.11153937422751505,0.09687194456322952
1993-03-05,446.1099853515625,449.5899963378906,445.55999755859375,447.3399963378906,0.12642046225855466,0.11312715884645205,0.09679253537389836
1993-03-08,454.7099914550781,454.7099914550781,446.1199951171875,446.1199951171875,0.10107873908185622,0.10370293979277118,0.09134595499112452
1993-03-09,454.3999938964844,455.5199890136719,453.67999267578125,454.6700134277344,0.10112347297074263,0.10370455839895341,0.09121656518528036
1993-03-10,456.3299865722656,456.3399963378906,452.70001220703125,454.3999938964844,0.10099119535750506,0.10385939358337094,0.09135630102740366
1993-03-11,453.7200012207031,456.760009765625,453.4800109863281,456.3500061035156,0.11165306550695119,0.10394917277296424,0.09135311947864794
1993-03-12,449.8299865722656,453.70001220703125,447.0400085449219,453.70001220703125,0.1059970241908306,0.10343985992962405,0.09013667345997585
1993-03-15,451.42999267578125,451.42999267578125,449.3999938964844,449.8299865722656,0.10477400683463282,0.10321136570608964,0.08999579649186065
1993-03-16,451.3699951171875,452.3599853515625,451.010009765625,451.42999267578125,0.10477400683463282,0.10322121019227046,0.0900011005924835
1993-03-17,448.30999755859375,451.3599853515625,447.989990234375,451.3599853515625,0.1025303570543917,0.1027849399214944,0.09008225783696082
1993-03-18,451.8900146484375,452.3900146484375,448.3599853515625,448.3599853515625,0.10127737281336799,0.10202955059049194,0.08976446091322537
1993-03-19,450.17999267578125,453.32000732421875,449.9100036621094,451.8999938964844,0.10255609729222843,0.10207180845957604,0.08978633476951164
1993-03-22,448.8800048828125,450.1700134277344,446.0799865722656,450.1700134277344,0.10075536318675586,0.10152190444046887,0.09032626999797568
1993-03-23,448.760009765625,449.79998779296875,448.29998779296875,448.8800048828125,0.1097317211703041,0.10167937887309669,0.09028063092087979
1993-03-24,448.07000732421875,450.8999938964844,446.1000061035156,448.7099914550781,0.1107272258162858,0.10308192304633876,0.09047077192558099
1993-03-25,450.8800048828125,451.75,447.92999267578125,448.0899963378906,0.11197675796272305,0.10237449814078159,0.09010152271450178
1993-03-26,447.7799987792969,452.0899963378906,447.69000244140625,450.9100036621094,0.11641881044834654,0.10175033490898906,0.08993345503677472
1993-03-29,450.7699890136719,452.80999755859375,447.75,447.760009765625,0.11575794948574185,0.10310928463024314,0.0897745820678105
1993-03-30,451.9700012207031,452.05999755859375,449.6300048828125,450.7900085449219,0.11630608308141889,0.10652043472610773,0.09047226963508777
1993-03-31,451.6700134277344,454.8800048828125,451.6700134277344,451.9700012207031,0.11638546071571308,0.10652061776522849,0.09060436322795373
1993-04-01,450.29998779296875,452.6300048828125,449.6000061035156,451.6700134277344,0.11784806824924658,0.10869256719990143,0.09125115805000017
1993-04-02,441.3900146484375,450.2799987792969,440.7099914550781,450.2799987792969,0.09340968518884737,0.10026747278621509,0.08637072185211317
1993-04-05,442.2900085449219,442.42999267578125,440.5299987792969,441.4200134277344,0.09233686538264554,0.09975329575957438,0.086163094084473
1993-04-06,441.1600036621094,443.3800048828125,439.4800109863281,442.2900085449219,0.09261844816417487,0.09974775947927111,0.08749308775375483
1993-04-07,442.7300109863281,442.7300109863281,440.5,441.1600036621094,0.09209887677316861,0.10013981553691603,0.08739280373532339
1993-04-08,441.8399963378906,443.7699890136719,440.0199890136719,442.7099914550781,0.09225971123234866,0.10240472489130195,0.08750684591365306
1993-04-12,448.3699951171875,448.3699951171875,441.8399963378906,441.8399963378906,0.07979567359039762,0.09846408376230012,0.08516841815230897
1993-04-13,449.2200012207031,450.3999938964844,447.6600036621094,448.4100036621094,0.07961622492634322,0.1010190160309241,0.08539274689069648
1993-04-14,448.6600036621094,450.0,448.0199890136719,449.2200012207031,0.089675207823461,0.10113997733520796,0.08539151599202578
1993-04-15,448.3999938964844,449.1099853515625,446.3900146484375,448.6000061035156,0.08970891281904501,0.10115002064816407,0.08541403750751368
1993-04-16,448.94000244140625,449.3900146484375,447.6700134277344,448.4100036621094,0.09054553508541437,0.10116005941816718,0.08541967534761831
1993-04-19,447.4599914550781,449.1400146484375,445.8500061035156,448.94000244140625,0.08941337365058025,0.10104754514249221,0.08529524942373311
1993-04-20,445.1000061035156,447.4599914550781,441.80999755859375,447.4599914550781,0.1125447905144706,0.10090958643957447,0.08502189849490964
1993-04-21,443.6300048828125,445.7699890136719,443.0799865722656,445.0899963378906,0.11292756362431719,0.10106118260110081,0.08506686443558281
1993-04-22,439.4599914550781,445.7300109863281,439.4599914550781,443.54998779296875,0.10858554928742867,0.09765107581424326,0.08306851311712043
1993-04-23,437.0299987792969,439.489990234375,436.82000732421875,439.489990234375,0.10854079474943384,0.09742496483915386,0.08283701460062325
1993-04-26,433.5400085449219,438.3500061035156,432.29998779296875,437.0299987792969,0.10529277777410376,0.09608497068553348,0.08410384986429054
1993-04-27,438.010009765625,438.0199890136719,433.1400146484375,433.5199890136719,0.10747709277170772,0.09462254014636078,0.08301053152736491
1993-04-28,438.0199890136719,438.79998779296875,436.67999267578125,438.010009765625,0.10787881406147523,0.095053647021737,0.08304211078605421
1993-04-29,438.8900146484375,438.9599914550781,435.5899963378906,438.0199890136719,0.10815806960182589,0.09533643612455042,0.08349310935905745
1993-04-30,440.19000244140625,442.2900085449219,438.8900146484375,438.8900146484375,0.1130775852817329,0.09530265564405253,0.08349033496882093
1993-05-03,442.4599914550781,442.5899963378906,438.25,440.19000244140625,0.11100679566806235,0.09450202412379954,0.0830015747861621
1993-05-04,444.04998779296875,445.19000244140625,442.45001220703125,442.5799865722656,0.11097427324899317,0.09491294598537563,0.08312498890981605
1993-05-05,444.5199890136719,446.0899963378906,443.760009765625,443.9800109863281,0.11118968791522836,0.09542128700585403,0.08311696869178532
1993-05-06,443.260009765625,444.80999755859375,442.8999938964844,444.6000061035156,0.11116962010144274,0.09532078212379591,0.08296692504307776
1993-05-07,442.30999755859375,443.70001220703125,441.69000244140625,443.2799987792969,0.11526747813231265,0.09523310170424178,0.08291618191623462
1993-05-10,442.79998779296875,445.4200134277344,442.04998779296875,442.3399963378906,0.11566813521157418,0.095134696673702,0.08354418680437223
