date,close_spy,high_spy,low_spy,open_spy,rv_21d,rv_60d,rv_120d
1993-01-29,24.31304359436035,24.33033594400072,24.209289496518128,24.33033594400072,0.12920757035359756,0.11956711669293281,0.10781864518257284
1993-02-01,24.4859676361084,24.4859676361084,24.330336485878895,24.330336485878895,0.1276711064490202,0.11876257383091117,0.10756334123453863
1993-02-02,24.5378360748291,24.55512841878599,24.41678966713086,24.468666699001535,0.12890499150557047,0.11900608004776843,0.10782273216086288
1993-02-03,24.797224044799805,24.81451639071668,24.555131201963544,24.57242354788042,0.12402809961503047,0.11707478075576018,0.10674525858748522
1993-02-04,24.900970458984375,24.952847480773926,24.607000668843586,24.883678118387856,0.1450336509368014,0.11748867029850825,0.10661665022876766
1993-02-05,24.883684158325195,24.935561192706693,24.745345399974532,24.88368415832519,0.14549716396170712,0.11770124392688944,0.10691597200035166
1993-02-08,24.883684158325195,24.970145882294357,24.849099468737528,24.88368415832519,0.14567097183695987,0.11784177316868166,0.10721918092718435
1993-02-09,24.710756301879883,24.797218010423897,24.65887927675347,24.797218010423897,0.1439669962127648,0.11719285203434152,0.106818107249275
1993-02-10,24.745342254638672,24.762634597234506,24.641588199063666,24.710757569447004,0.14827757714066608,0.11723771385933493,0.10680361700610554
1993-02-11,24.86638641357422,24.9701404598061,24.779924708380985,24.779924708380985,0.14826147670810372,0.11689058046411087,0.10656926928630521
1993-02-12,24.676177978515625,24.831809094007316,24.676177978515625,24.831809094007316,0.14585585425455228,0.11614744074527604,0.10602981820237119
1993-02-16,24.053653717041016,24.60700879895713,24.019069024421256,24.60700879895713,0.11791755403040212,0.10371308688938993,0.09937478361342639
1993-02-17,24.03635597229004,24.088232999568365,23.9498942601595,24.05364831471615,0.11984764356688983,0.10657560557124442,0.0996935610130541
1993-02-18,24.01906394958496,24.313033774741868,23.690509439115477,24.313033774741868,0.11993642666449837,0.10657532813578288,0.0996931391621617
1993-02-19,24.105527877807617,24.105527877807617,23.98448146809122,24.01906615658162,0.12083801078545266,0.1065685294793379,0.09955705196141518
1993-02-22,24.191980361938477,24.226565037223594,24.10551867372569,24.17468802429592,0.12041829336121528,0.10632556297908174,0.09950282069723645
1993-02-23,24.1746883392334,24.27844236644041,24.053641974158552,24.261150028572573,0.12039281543947675,0.1141879292488496,0.09951769983719765
1993-02-24,24.4859676361084,24.4859676361084,24.19199768567489,24.19199768567489,0.11401132282548208,0.11128194258507183,0.09810265140429987
1993-02-25,24.5378360748291,24.55512841878599,24.41678966713086,24.468666699001535,0.11538959941831621,0.11272936895102079,0.09818118767032347
1993-02-26,24.572416305541992,24.58970864636222,24.451369919800406,24.58970864636222,0.11618646859450572,0.11301767015769634,0.09848021290816533
