,policy,split,regime,mean_bps,std_bps,sharpe
0,gae_policy,train,low,2.224765425849569,54.71382262442459,0.6454869091480782
1,gae_policy,train,mid,2.7530667313847927,97.64118732540483,0.44759369156797113
2,gae_policy,train,high,1.4892486376124687,141.01650094107183,0.16764767991701368
3,gae_policy,valid,low,2.469181342961141,52.81905617871393,0.742100323030202
4,gae_policy,valid,mid,4.177012099099361,82.8909950111412,0.7999422786062157
5,gae_policy,valid,high,-0.705814509144503,3.9332671037256786,-2.84863897674576
6,gae_policy,test,low,1.1545051720973454,33.33919046566884,0.5497194497004035
7,gae_policy,test,mid,1.7236850737525458,45.43357462090379,0.6022562056974964
8,gae_policy,test,high,3.553806905861182,88.69186292478066,0.6360779199165212
9,long_spy,train,low,1.4528198826484926,41.038206578596665,0.5619836386216752
10,long_spy,train,mid,2.35430960913503,66.8250214672773,0.5592741399780438
11,long_spy,train,high,2.201479420622014,104.00253995044827,0.33602450860339617
12,long_spy,valid,low,0.7102754026901078,35.901067246783775,0.3140651053574403
13,long_spy,valid,mid,3.15438721442022,56.50861124209082,0.8861365294294804
14,long_spy,valid,high,0.4738139621125,2.680296525044917,2.8062430400804566
15,long_spy,test,low,0.8414337112865989,23.023119622689777,0.5801709884571347
16,long_spy,test,mid,-0.03798099295561251,31.775885198672313,-0.018974438247034982
17,long_spy,test,high,0.9689405612734365,61.34110197652901,0.25075282423003337
18,vix_band,train,low,-0.041072856815790836,2.6047985103760296,-0.2503116406202015
19,vix_band,train,mid,0.6073705624835293,59.85834507661515,0.16107543166481122
20,vix_band,train,high,2.4470512691112862,96.2146533125082,0.4037403169222943
21,vix_band,valid,low,-0.2223733614052648,7.539833007009074,-0.46818910599496627
22,vix_band,valid,mid,3.435194732966449,38.67809214982653,1.4098944074027584
23,vix_band,valid,high,0.4738139621125,2.680296525044917,2.8062430400804566
24,vix_band,test,low,-0.10278396611332556,4.832479994438355,-0.3376413105656596
25,vix_band,test,mid,0.20360164700901098,28.588221301547318,0.11305620986217393
26,vix_band,test,high,1.1022679123579417,61.03006396697982,0.28671050803846376
27,vix_vol_target,train,low,0.9170674184728557,30.633053534566226,0.47523809313126025
28,vix_vol_target,train,mid,2.0512307132515293,76.04492386856904,0.42819791824061254
29,vix_vol_target,train,high,3.207165826335829,151.90379807554638,0.33516067263609334
30,vix_vol_target,valid,low,0.4913639258937947,27.118642572188612,0.28763093455346933
31,vix_vol_target,valid,mid,3.775496148360756,62.104633336851165,0.965051077293865
32,vix_vol_target,valid,high,0.4901330575418875,3.5109118149084533,2.2161254647542754
33,vix_vol_target,test,low,0.6698799970916887,19.393651918074482,0.5483245408492144
34,vix_vol_target,test,mid,0.03208426257022054,35.11481868051893,0.014504471265881034
35,vix_vol_target,test,high,1.501724116990097,110.73285280774999,0.2152850821037885
36,vol_target,train,low,0.19415638193809648,26.966168996887017,0.11429643612859729
37,vol_target,train,mid,1.6128511741982319,62.199995574836926,0.41162733880450675
38,vol_target,train,high,0.4305395595322746,88.58255504102144,0.07715518728739654
39,vol_target,valid,low,0.028285366450814187,12.80954125556103,0.03505326719113941
40,vol_target,valid,mid,2.7839436424817054,49.77022670156719,0.8879552732831701
41,vol_target,valid,high,0.3980362115706365,2.4960036385231006,2.5314983015905916
42,vol_target,test,low,0.16961959633472387,12.418348180083608,0.21682655191029804
43,vol_target,test,mid,0.0993097776334419,26.840138166567446,0.05873642812371883
44,vol_target,test,high,-0.409723144086999,43.91237487498393,-0.14811663665121877
45,ml_gbr,train,low,2.834263876499055,64.31417386493128,0.6995743161902837
46,ml_gbr,train,mid,10.175011066480172,116.47744907327036,1.3867344666332215
47,ml_gbr,train,high,10.003654468987072,187.57161320962675,0.8466264635847783
48,ml_gbr,valid,low,2.169396761805474,62.88184030198765,0.547663773757399
49,ml_gbr,valid,mid,11.777450821453264,98.80387275388347,1.8922460274089186
50,ml_gbr,valid,high,-0.23792329485041117,1.2782456304654393,-2.9547648164652296
51,ml_gbr,test,low,0.3142979771618985,36.5371918533112,0.13655471200078256
52,ml_gbr,test,mid,1.514635991633445,61.29964443475685,0.39223883246973346
53,ml_gbr,test,high,0.730075284115721,120.25264452388316,0.09637697271970054
