mean_bps,std_bps,sharpe,maxdd,steps,tag,seed,split
3.9780806504585398,53.99207972941866,1.1696173382337705,-0.17731264441665695,7008,base,12345,train
2.091711134429919,37.28737760396086,0.8905127416144965,-0.055678874973777326,1954,base,12345,valid
1.0384333533172025,41.35142448884637,0.3986469302986041,-0.17303877236929188,7529,base,12345,test
2.689696527028638,60.04443650899096,0.7111001644609971,-0.16156521593685014,7008,base,23456,train
2.0725397051098065,43.20321279221107,0.7615301206973583,-0.08004232118203991,1954,base,23456,valid
1.0174151857984537,42.7069053975921,0.3781815896042498,-0.23020933634009444,7529,base,23456,test
3.4190880003542987,50.35662144367929,1.0778391758907069,-0.10373954585438372,7008,base,34567,train
2.2309331657483082,41.89166854152754,0.8453940203873535,-0.08043312621748488,1954,base,34567,valid
1.4559350582759363,37.55750686125831,0.6153830343672715,-0.09972199416584993,7529,base,34567,test
3.4042635068600773,47.01522518794252,1.1494363283995426,-0.069112576419737,7008,base,45678,train
2.9226490277083443,45.08787200669516,1.0290043179273725,-0.0356741131121715,1954,base,45678,valid
1.355646512424998,39.60937370286484,0.5433113228946351,-0.16184406841083687,7529,base,45678,test
3.1162438280326925,49.57310470101182,0.9978966913620989,-0.12171832875810717,7008,base,56789,train
1.9665873462989485,27.57868883224426,1.131982977459788,-0.03421683991187796,1954,base,56789,valid
0.8624066911039884,34.568247203676755,0.39603633129826116,-0.19860853343466145,7529,base,56789,test
2.4353936687032327,58.2615400175846,0.6635711301127855,-0.13122909431752638,7008,base,67890,train
2.142749974368469,36.78228585618024,0.9247685545377456,-0.06190171256645194,1954,base,67890,valid
0.9154240770444401,44.264613579873476,0.3282962514944439,-0.2874635737690644,7529,base,67890,test
2.2609380051121257,59.21825637545626,0.6060846830749071,-0.25594236945671067,7008,base,78901,train
2.142679548743669,39.14602780443111,0.8688999946970073,-0.04687399222765565,1954,base,78901,valid
1.203186353378314,41.35002590085943,0.4619100185627021,-0.16325010862690803,7529,base,78901,test
3.765371088774311,71.41605644299862,0.8369744276810458,-0.33913063585251424,7804,shift_365d,12345,train
3.060965095413765,63.45804779899062,0.7657234373140678,-0.15604179524229944,3514,shift_365d,12345,valid
1.4207915175887005,41.297469076123036,0.5461440283636846,-0.12230326681966919,5173,shift_365d,12345,test
3.0505502978288073,59.229628516222576,0.8175973058218782,-0.1633327874206425,7804,shift_365d,23456,train
2.0170625180743165,41.444190284825744,0.7726022535392583,-0.15276271492675175,3514,shift_365d,23456,valid
-0.04781346099418436,33.03141915707042,-0.022978581666810566,-0.31813322504181885,5173,shift_365d,23456,test
3.304721158140356,42.44098818306492,1.2360886083715106,-0.056367760461721206,7804,shift_365d,34567,train
1.79439593811236,35.65598324017027,0.7988884289940699,-0.07151290051013481,3514,shift_365d,34567,valid
0.27908380590831083,25.624102392418333,0.1728965176779694,-0.18965071799391864,5173,shift_365d,34567,test
3.6176919523673305,48.22167048629354,1.1909392349306036,-0.08485251605100275,7804,shift_365d,45678,train
2.920604479605724,51.85662121892555,0.8940643971070584,-0.08249479950806116,3514,shift_365d,45678,valid
1.26874255912597,33.81759533207455,0.5955675895193917,-0.08412994574549737,5173,shift_365d,45678,test
4.498556883011479,58.078666142410455,1.2295801775414827,-0.1021904891911476,7804,shift_365d,56789,train
3.221383842374922,57.60926823473736,0.8876676394858146,-0.10887264190335422,3514,shift_365d,56789,valid
0.3779461371017114,34.18665972039467,0.17549854169907883,-0.2889309237761941,5173,shift_365d,56789,test
2.701189423096575,78.15621542456766,0.548645459770695,-0.3796175943528781,7804,shift_365d,67890,train
4.052179639311194,71.67975897354982,0.8974131397958206,-0.08966607412774963,3514,shift_365d,67890,valid
0.191457114745732,44.50215038333261,0.06829529467513752,-0.3519440953041506,5173,shift_365d,67890,test
4.409203788784097,64.79917056923362,1.0801672245908616,-0.13925035050697387,7804,shift_365d,78901,train
2.6904418066531037,56.560308330705844,0.7551132743840828,-0.15245637230808984,3514,shift_365d,78901,valid
1.0389935523709737,40.73469486558819,0.4049008191828222,-0.1682410826328541,5173,shift_365d,78901,test
