,policy,split,period,mean_bps,std_bps,sharpe
0,gae_policy,train,GFC_2008_2009,7.308205635299873,141.72104661401806,0.8186093076401985
1,gae_policy,train,Eurozone_2010_2012,1.1354586716296964,90.55462812130327,0.19904943555837057
2,gae_policy,train,Calm_2017_2019,1.5219103881553102,29.54814536849388,0.817634343117483
3,gae_policy,valid,Calm_2017_2019,2.710855481546126,58.68215557751778,0.7333319003525273
4,gae_policy,test,COVID_2020_2021,3.0089959294177393,70.07215760504492,0.6816734518251941
5,gae_policy,test,Post_2022_2023,1.152110059402302,48.14313842303203,0.37989173119998315
6,long_spy,train,GFC_2008_2009,-1.8040826963439083,98.69343734740008,-0.29018064143329253
7,long_spy,train,Eurozone_2010_2012,2.7384779237125154,68.49061751658752,0.6347145188371913
8,long_spy,train,Calm_2017_2019,2.272147905865704,19.69648772437292,1.8312518612457058
9,long_spy,valid,Calm_2017_2019,1.1266801123333188,39.93407202353554,0.447875495782065
10,long_spy,test,COVID_2020_2021,1.0944971222359936,48.25810907780181,0.3600348937970703
11,long_spy,test,Post_2022_2023,0.0047478419414076056,33.86140688597976,0.002225827606662332
12,vix_band,train,GFC_2008_2009,-0.1409302243384259,92.40280463572206,-0.024211364186311972
13,vix_band,train,Eurozone_2010_2012,2.33063210094203,50.30123940864687,0.7355213918188191
14,vix_band,valid,Calm_2017_2019,0.4179648545934376,17.457372672496874,0.38006786568577444
15,vix_band,test,COVID_2020_2021,0.7881371146148063,45.24832767398642,0.2765027895812722
16,vix_band,test,Post_2022_2023,-0.04138166306098157,30.785754688853068,-0.02133823069874609
17,vix_vol_target,train,GFC_2008_2009,-1.7019571224314176,138.1436299898823,-0.19557710862434002
18,vix_vol_target,train,Eurozone_2010_2012,3.4720950437592264,83.10517360038794,0.6632294681199457
19,vix_vol_target,train,Calm_2017_2019,1.1975909249368797,11.011691720363306,1.7264528504252026
20,vix_vol_target,valid,Calm_2017_2019,1.0560666070409994,35.498894880717614,0.47225519885149314
21,vix_vol_target,test,COVID_2020_2021,1.3051287031885825,85.05860163632308,0.24357649275729312
22,vix_vol_target,test,Post_2022_2023,0.07776336600766351,41.26333180141442,0.029916516953754902
23,vol_target,train,GFC_2008_2009,-2.219970305384723,88.60809662749057,-0.3977168838659274
24,vol_target,train,Eurozone_2010_2012,2.0187268850559845,61.975564816341176,0.517079528228189
25,vol_target,valid,Calm_2017_2019,0.5081897716658674,23.648225461422506,0.3411360628765857
26,vol_target,test,COVID_2020_2021,0.03080449677497208,33.462503131875515,0.014613557881406348
27,vol_target,test,Post_2022_2023,-0.14665629461654328,27.13301010046105,-0.08580310455514135
28,ml_gbr,train,GFC_2008_2009,3.5393909156543337,180.9942903684466,0.3104301733408186
29,ml_gbr,train,Eurozone_2010_2012,7.998986519844961,109.52975613368706,1.159319429849006
30,ml_gbr,train,Calm_2017_2019,1.5155389794768692,30.07711941910966,0.7998916091757395
31,ml_gbr,valid,Calm_2017_2019,3.7821254835192253,69.97841782945565,0.8579699656272977
32,ml_gbr,test,COVID_2020_2021,0.7540216865607259,91.14306657904862,0.13132894957351116
33,ml_gbr,test,Post_2022_2023,0.9660613016409696,67.62607521759269,0.22677270095844068
