date,close_spy,rate_10y,vix,volume_spy,spy_ret,spy_ret_lag1,spy_ret_lag5,rv_5d,rv_10d,rv_20d,rv_60d,ret_fwd
2010-03-31,87.90286254882812,3.8329999446868896,17.59000015258789,18.897403629599143,-0.00340723268196208,0.0006817206678126908,-8.527950357295477e-05,0.05885465690971861,0.07133779827795972,0.07570793181774929,0.1407306445507369,0.006837676420748284
2010-04-01,88.50391387939453,3.8589999675750732,17.469999313354492,18.898250682598373,0.006837676420748284,-0.00340723268196208,0.001369303560302182,0.07100937806436952,0.07811412771953577,0.07740344890868034,0.14124715839133212,0.008149643309252275
2010-04-05,89.22518920898438,3.99399995803833,17.020000457763672,18.477510891140934,0.008149643309252275,0.006837676420748284,0.009858679321052666,0.077880176338553,0.0772273932485316,0.067365996825034,0.14206797364583856,0.002357433019658739
2010-04-06,89.43553161621094,3.9679999351501465,16.229999542236328,18.519477574682444,0.002357433019658739,0.008149643309252275,0.018699773506595685,0.07448237765181495,0.0754622395803155,0.0669605840529675,0.14192941314118684,-0.0057123509724125165
2010-04-07,88.92464447021484,3.86299991607666,16.6200008392334,19.03357349150988,-0.0057123509724125165,0.002357433019658739,0.014660543183187214,0.09702866915714183,0.07912875385286845,0.07270585878530239,0.14245038011052216,0.0034638490515790377
2010-04-08,89.232666015625,3.8959999084472656,16.479999542236328,18.88255139626895,0.0034638490515790377,-0.0057123509724125165,0.00817715084212045,0.08613944513953516,0.07323134711548769,0.07232617940571996,0.14255956760076932,0.0065675983660604675
2010-04-09,89.81871032714844,3.888000011444092,16.139999389648438,18.705908564690702,0.0065675983660604675,0.0034638490515790377,0.015128101955248496,0.085403395006236,0.0745101040252053,0.07383230002342799,0.14150945481848537,0.00158943754534846
2010-04-12,89.96147155761719,3.8459999561309814,15.579999923706055,18.518524085319317,0.00158943754534846,0.0065675983660604675,0.014855800044567546,0.07195422203978336,0.07277594170161199,0.0735177422096411,0.1406531427637555,0.0007510539434147923
2010-04-13,90.02903747558594,3.811000108718872,16.200000762939453,18.644173042447207,0.0007510539434147923,0.00158943754534846,0.00825195614781249,0.07186740699781219,0.07027467388721496,0.0733807933323237,0.14059926578712365,0.011349555426029445
2010-04-14,91.05082702636719,3.8550000190734863,15.59000015258789,18.900690401757547,0.011349555426029445,0.0007510539434147923,0.006636130502604587,0.06850569425152608,0.08332119961578147,0.07783868955498759,0.1399608779100838,0.0008253580839090446
2010-04-15,91.1259765625,3.8480000495910645,15.890000343322754,18.789587678135074,0.0008253580839090446,0.011349555426029445,0.023909935978034813,0.07395662169279804,0.07634828237461343,0.07672437742437276,0.13796003571663962,-0.01591233938465164
