date,close_spy,vix,rate_10y,hvol_10d,hvol_14d,hvol_30d,hvol_60d,hvol_91d,hvol_122d,hvol_152d,hvol_182d,hvol_273d,hvol_365d,hvol_547d,hvol_730d,hvol_1825d,fwd_front,high_spy,low_spy,open_spy,rv_21d,rv_60d,rv_120d,iv_atm_30d_spx,iv_atm_91d_spx,delta_atm_30d_spx,iv_atm_60d_spx,iv_ts_slope_spx,iv_put25_30d_spx,iv_call25_30d_spx,iv_skew_30d_spx,iv_put25_60d_spx,iv_call25_60d_spx,iv_skew_60d_spx,ret_fwd
2005-01-21,79.45227813720703,14.36,4.16,0.125623,0.118257,0.097512,0.089121,0.09803,0.10453,0.099892,0.10405,0.108384,0.112556,0.112634,0.137524,0.203975,116.787588,80.28231647706203,79.36383338602016,80.13944179096434,0.0905759150233628,0.1056703351755945,0.1063200231048084,,,,,,,,,,,,0.0
2005-01-21,79.45227813720703,14.36,4.16,0.125623,0.118257,0.097512,0.089121,0.09803,0.10453,0.099892,0.10405,0.108384,0.112556,0.112634,0.137524,0.203975,117.001989,80.28231647706203,79.36383338602016,80.13944179096434,0.0905759150233628,0.1056703351755945,0.1063200231048084,,,,,,,,,,,,0.0
2005-01-21,79.45227813720703,14.36,4.16,0.125623,0.118257,0.097512,0.089121,0.09803,0.10453,0.099892,0.10405,0.108384,0.112556,0.112634,0.137524,0.203975,116.70621,80.28231647706203,79.36383338602016,80.13944179096434,0.0905759150233628,0.1056703351755945,0.1063200231048084,,,,,,,,,,,,0.0
2005-01-21,79.45227813720703,14.36,4.16,0.125623,0.118257,0.097512,0.089121,0.09803,0.10453,0.099892,0.10405,0.108384,0.112556,0.112634,0.137524,0.203975,117.040972,80.28231647706203,79.36383338602016,80.13944179096434,0.0905759150233628,0.1056703351755945,0.1063200231048084,,,,,,,,,,,,0.0
2005-01-21,79.45227813720703,14.36,4.16,0.125623,0.118257,0.097512,0.089121,0.09803,0.10453,0.099892,0.10405,0.108384,0.112556,0.112634,0.137524,0.203975,117.458144,80.28231647706203,79.36383338602016,80.13944179096434,0.0905759150233628,0.1056703351755945,0.1063200231048084,,,,,,,,,,,,0.0
2005-01-21,79.45227813720703,14.36,4.16,0.125623,0.118257,0.097512,0.089121,0.09803,0.10453,0.099892,0.10405,0.108384,0.112556,0.112634,0.137524,0.203975,117.909522,80.28231647706203,79.36383338602016,80.13944179096434,0.0905759150233628,0.1056703351755945,0.1063200231048084,,,,,,,,,,,,0.0
2005-01-21,79.45227813720703,14.36,4.16,0.125623,0.118257,0.097512,0.089121,0.09803,0.10453,0.099892,0.10405,0.108384,0.112556,0.112634,0.137524,0.203975,120.143154,80.28231647706203,79.36383338602016,80.13944179096434,0.0905759150233628,0.1056703351755945,0.1063200231048084,,,,,,,,,,,,0.0
2005-01-21,79.45227813720703,14.36,4.16,0.125623,0.118257,0.097512,0.089121,0.09803,0.10453,0.099892,0.10405,0.108384,0.112556,0.112634,0.137524,0.203975,122.963366,80.28231647706203,79.36383338602016,80.13944179096434,0.0905759150233628,0.1056703351755945,0.1063200231048084,,,,,,,,,,,,0.018239251528403777
2005-02-01,80.90142822265625,12.03,4.15,0.048278,0.089438,0.10135,0.088253,0.092348,0.09783,0.098549,0.103121,0.10621,0.111063,0.11159,0.13394,0.202662,119.120705,81.01708791687334,80.35033433183254,80.45238914055717,0.1004974283003906,0.1203887699821213,0.1067357581144581,,,,,,,,,,,,0.0
2005-02-01,80.90142822265625,12.03,4.15,0.048278,0.089438,0.10135,0.088253,0.092348,0.09783,0.098549,0.103121,0.10621,0.111063,0.11159,0.13394,0.202662,119.063994,81.01708791687334,80.35033433183254,80.45238914055717,0.1004974283003906,0.1203887699821213,0.1067357581144581,,,,,,,,,,,,0.0
